country,leader_title,name,first,last,visit_type,n_articles,source
赤道几内亚,总统,奥比昂,2015-04-28,2015-04-29,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
阿尔及利亚,总理,萨拉勒,2015-04-29,2015-04-29,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
印度,总理,莫迪,2015-05-14,2015-05-15,正式访问,3,PRC MFA zyxw wayback backfill
安哥拉,总统,多斯桑托斯,2015-06-09,2015-06-10,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
喀麦隆,总理,菲勒蒙,2015-06-19,2015-06-19,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
比利时,国王,菲利普,2015-06-23,2015-06-24,国事访问,2,PRC MFA zyxw wayback backfill
新加坡,总统,陈庆炎,2015-07-04,2015-07-04,国事访问,1,PRC MFA zyxw wayback backfill
斐济,总理,姆拜尼马拉马,2015-07-16,2015-07-17,国事访问,2,PRC MFA zyxw wayback backfill
土耳其,总统,埃尔多安,2015-07-30,2015-07-30,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
伊拉克,总理,阿巴迪,2015-08-19,2015-08-21,正式访问,1,PRC MFA zyxw wayback backfill (预告)
美国,总统,国家安全事务助理赖斯,2015-08-28,2015-08-28,国事访问,1,PRC MFA zyxw wayback backfill
塞尔维亚,总统,尼科利奇,2015-08-31,2015-09-02,来华出席,2,PRC MFA zyxw wayback backfill
柬埔寨,国王,西哈莫尼,2015-08-31,2015-08-31,来华出席,1,PRC MFA zyxw wayback backfill
哈萨克斯坦,总统,纳扎尔巴耶夫,2015-08-31,2015-09-01,国事访问,2,PRC MFA zyxw wayback backfill
老挝,国家主席/总书记,朱马里,2015-09-01,2015-09-01,来华出席,1,PRC MFA zyxw wayback backfill
瓦努阿图,总理,基尔曼,2015-09-01,2015-09-01,来华出席,1,PRC MFA zyxw wayback backfill
苏丹,总统,巴希尔,2015-09-01,2015-09-01,来华出席,1,PRC MFA zyxw wayback backfill
委内瑞拉,总统,马杜罗,2015-09-01,2015-09-01,来华出席,1,PRC MFA zyxw wayback backfill
东帝汶,总统,鲁瓦克,2015-09-02,2015-09-02,来华出席,1,PRC MFA zyxw wayback backfill
吉尔吉斯斯坦,总统,阿塔姆巴耶夫,2015-09-02,2015-09-02,来华出席,1,PRC MFA zyxw wayback backfill
俄罗斯,总统,普京,2015-09-02,2015-09-03,来华出席,2,PRC MFA zyxw wayback backfill
乌兹别克斯坦,总统,卡里莫夫,2015-09-02,2015-09-03,来华出席,2,PRC MFA zyxw wayback backfill
塔吉克斯坦,总统,拉赫蒙,2015-09-02,2015-09-02,来华出席,1,PRC MFA zyxw wayback backfill
白俄罗斯,总统,卢卡申科,2015-09-02,2015-09-02,来华出席,1,PRC MFA zyxw wayback backfill
埃及,总统,塞西,2015-09-02,2015-09-02,来华出席,2,PRC MFA zyxw wayback backfill
巴基斯坦,总统,侯赛因,2015-09-02,2015-09-02,来华出席,1,PRC MFA zyxw wayback backfill
韩国,总统,朴槿惠,2015-09-02,2015-09-02,来华出席,2,PRC MFA zyxw wayback backfill
越南,国家主席,张晋创,2015-09-03,2015-09-03,来华出席,1,PRC MFA zyxw wayback backfill
蒙古国,总统,额勒贝格道尔吉,2015-09-03,2015-09-03,来华出席,1,PRC MFA zyxw wayback backfill
捷克,总统,泽曼,2015-09-04,2015-09-04,来华出席,1,PRC MFA zyxw wayback backfill
波黑,主席,团轮值主席乔维奇,2015-09-04,2015-09-04,来华出席,1,PRC MFA zyxw wayback backfill
刚果民主共和国,总统,卡比拉,2015-09-04,2015-09-04,来华出席,1,PRC MFA zyxw wayback backfill
缅甸,总统,登盛,2015-09-04,2015-09-04,来华出席,2,PRC MFA zyxw wayback backfill
埃塞俄比亚,总理,海尔马里亚姆,2015-09-04,2015-09-04,来华出席,2,PRC MFA zyxw wayback backfill
南非,总统,祖马,2015-09-04,2015-09-04,来华出席,1,PRC MFA zyxw wayback backfill
约旦,国王,阿卜杜拉二世,2015-09-09,2015-09-09,来华出席,1,PRC MFA zyxw wayback backfill
毛里塔尼亚,总统,阿齐兹,2015-09-14,2015-09-14,国事访问,1,PRC MFA zyxw wayback backfill
克罗地亚,总统,基塔罗维奇,2015-10-15,2015-10-15,国事访问,1,PRC MFA zyxw wayback backfill
柬埔寨,首相,洪森,2015-10-15,2015-10-15,来华出席,1,PRC MFA zyxw wayback backfill
乍得,总统,代比,2015-10-15,2015-10-15,来华出席,1,PRC MFA zyxw wayback backfill
荷兰,国王,威廉,2015-10-26,2015-10-26,会见/会谈(双边),2,PRC MFA zyxw wayback backfill
德国,总理,默克尔,2015-10-30,2015-10-30,会见/会谈(双边),1,PRC MFA zyxw wayback backfill
利比里亚,总统,瑟利夫,2015-11-01,2015-11-05,国事访问,1,PRC MFA zyxw wayback backfill (预告)
